group,year,week,value
75to84,2022,32,38635
75to84,2022,33,39727
75to84,2022,34,40338
75to84,2022,35,40445
75to84,2022,36,40772
75to84,2022,37,40955
75to84,2022,38,41211
75to84,2022,39,42232
75to84,2022,40,43363
75to84,2022,41,44369
75to84,2022,42,45338
75to84,2022,43,46041
75to84,2022,44,46064
75to84,2022,45,46459
75to84,2022,46,46984
75to84,2022,47,47947
75to84,2022,48,48996
75to84,2022,49,51127
75to84,2022,50,54511
75to84,2022,51,59111
75to84,2022,52,63379
75to84,2023,0,0
75to84,2023,1,3379
75to84,2023,2,5566
75to84,2023,3,6599
75to84,2023,4,7426
75to84,2023,5,8284
75to84,2023,6,8755
75to84,2023,7,9395
75to84,2023,8,10045
75to84,2023,9,10349
75to84,2023,10,11474
75to84,2023,11,11995
75to84,2023,12,12037
75to84,2023,13,12101
75to84,2023,14,11883
75to84,2023,15,11967
75to84,2023,16,12207
75to84,2023,17,12405
75to84,2023,18,12311
75to84,2023,19,12181
75to84,2023,20,11914
75to84,2023,21,11958
75to84,2023,22,11852
75to84,2023,23,12207
75to84,2023,24,12510
75to84,2023,25,12861
75to84,2023,26,12601
75to84,2023,27,12373
75to84,2023,28,12414
75to84,2023,29,12771
75to84,2023,30,12944
75to84,2023,31,12848
75to84,2023,32,13195
75to84,2023,33,13675
75to84,2023,34,14307
75to84,2023,35,14199
75to84,2023,36,14771
75to84,2023,37,14539
75to84,2023,38,14377
75to84,2023,39,14386
75to84,2023,40,14361
75to84,2023,41,14538
75to84,2023,42,14928
75to84,2023,43,15576
75to84,2023,44,16048
75to84,2023,45,16568
75to84,2023,46,17074
75to84,2023,47,17634
75to84,2023,48,18406
75to84,2023,49,18120
65P,2021,0,0
65P,2021,1,14592
65P,2021,2,32448
65P,2021,3,52412
65P,2021,4,69063
65P,2021,5,80584
65P,2021,6,88095
65P,2021,7,93796
65P,2021,8,95961
65P,2021,9,96440
65P,2021,10,97644
65P,2021,11,98819
65P,2021,12,100342
65P,2021,13,102795
65P,2021,14,104847
65P,2021,15,106546
65P,2021,16,108575
65P,2021,17,109766
65P,2021,18,111675
65P,2021,19,111678
65P,2021,20,111236
65P,2021,21,110677
65P,2021,22,110223
65P,2021,23,109941
65P,2021,24,110411
65P,2021,25,110678
65P,2021,26,111867
65P,2021,27,112956
65P,2021,28,114513
65P,2021,29,118482
65P,2021,30,121548
65P,2021,31,125772
65P,2021,32,130742
65P,2021,33,134732
65P,2021,34,137658
65P,2021,35,140834
65P,2021,36,145336
65P,2021,37,147356
65P,2021,38,148183
65P,2021,39,149998
65P,2021,40,151609
65P,2021,41,154151
65P,2021,42,157125
65P,2021,43,161271
65P,2021,44,164801
65P,2021,45,169910
65P,2021,46,174847
65P,2021,47,180991
65P,2021,48,189484
65P,2021,49,197633
65P,2021,50,204344
65P,2021,51,211456
65P,2021,52,218879
65P,2022,0,0
65P,2022,1,6278
65P,2022,2,12768
65P,2022,3,19558
65P,2022,4,28047
65P,2022,5,36725
65P,2022,6,42810
65P,2022,7,47537
65P,2022,8,49738
65P,2022,9,51506
65P,2022,10,53778
65P,2022,11,56314
65P,2022,12,59555
65P,2022,13,64060
65P,2022,14,69621
65P,2022,15,74526
65P,2022,16,77585
65P,2022,17,80127
65P,2022,18,82126
65P,2022,19,84178
65P,2022,20,86143
65P,2022,21,86141
65P,2022,22,87679
65P,2022,23,89136
65P,2022,24,93291
65P,2022,25,96388
65P,2022,26,100019
65P,2022,27,105337
65P,2022,28,113320
65P,2022,29,124463
65P,2022,30,132066
65P,2022,31,138018
65P,2022,32,144733
65P,2022,33,148775
65P,2022,34,150885
65P,2022,35,151551
65P,2022,36,152182
65P,2022,37,152663
65P,2022,38,153613
65P,2022,39,156911
65P,2022,40,160886
65P,2022,41,164123
65P,2022,42,167422
65P,2022,43,169381
65P,2022,44,169554
65P,2022,45,170746
65P,2022,46,172389
65P,2022,47,175041
65P,2022,48,178622
65P,2022,49,185507
65P,2022,50,196301
65P,2022,51,211100
65P,2022,52,224832
65P,2023,0,0
65P,2023,1,11678
65P,2023,2,19546
65P,2023,3,24373
65P,2023,4,27437
65P,2023,5,30401
65P,2023,6,32820
65P,2023,7,35514
65P,2023,8,37273
65P,2023,9,38683
65P,2023,10,41934
